datetime,symbol,open,high,low,close,volume
2022-10-28 05:30:00,NASDAQ:LPRO,7.16,7.3,6.97,7.26,564715.0
2022-10-31 05:30:00,NASDAQ:LPRO,7.24,7.29,7.01,7.17,666945.0
2022-11-01 05:30:00,NASDAQ:LPRO,7.37,7.4,7.13,7.15,852900.0
2022-11-02 05:30:00,NASDAQ:LPRO,7.22,7.36,6.84,6.85,1570445.0
2022-11-03 05:30:00,NASDAQ:LPRO,6.72,6.76,6.53,6.63,1100304.0
2022-11-04 05:30:00,NASDAQ:LPRO,6.79,6.98,6.11,6.9,2248428.0
2022-11-07 05:30:00,NASDAQ:LPRO,7.0,7.17,6.35,6.4,1116520.0
2022-11-08 05:30:00,NASDAQ:LPRO,6.4,6.65,6.24,6.46,696749.0
2022-11-09 05:30:00,NASDAQ:LPRO,6.38,6.38,6.12,6.14,480174.0
2022-11-10 05:30:00,NASDAQ:LPRO,6.54,7.24,6.5,7.19,1109415.0
2022-11-11 05:30:00,NASDAQ:LPRO,7.13,7.57,6.96,7.54,1200207.0
2022-11-14 05:30:00,NASDAQ:LPRO,7.4,7.46,6.88,7.12,805863.0
2022-11-15 05:30:00,NASDAQ:LPRO,7.45,7.67,7.23,7.29,790019.0
2022-11-16 05:30:00,NASDAQ:LPRO,7.23,7.26,6.78,6.88,720568.0
2022-11-17 05:30:00,NASDAQ:LPRO,6.82,6.85,6.59,6.71,468669.0
2022-11-18 05:30:00,NASDAQ:LPRO,7.26,8.02,7.04,7.14,1316183.0
2022-11-21 05:30:00,NASDAQ:LPRO,7.12,7.259,6.98,7.07,651821.0
2022-11-22 05:30:00,NASDAQ:LPRO,6.91,7.12,6.85,6.93,602770.0
2022-11-23 05:30:00,NASDAQ:LPRO,6.96,7.2495,6.88,7.03,382067.0
2022-11-25 05:30:00,NASDAQ:LPRO,6.93,7.07,6.91,6.96,165763.0
2022-11-28 05:30:00,NASDAQ:LPRO,6.85,6.98,6.66,6.75,470229.0
2022-11-29 05:30:00,NASDAQ:LPRO,6.76,7.05,6.75,6.77,568466.0
2022-11-30 05:30:00,NASDAQ:LPRO,6.77,7.215,6.55,7.07,3204796.0
2022-12-01 05:30:00,NASDAQ:LPRO,7.13,7.34,7.07,7.29,1879178.0
2022-12-02 05:30:00,NASDAQ:LPRO,7.12,7.28,7.02,7.15,961660.0
2022-12-05 05:30:00,NASDAQ:LPRO,7.12,7.32,7.07,7.16,717840.0
2022-12-06 05:30:00,NASDAQ:LPRO,7.15,7.18,6.9,6.97,679664.0
2022-12-07 05:30:00,NASDAQ:LPRO,6.94,6.97,6.77,6.83,746999.0
2022-12-08 05:30:00,NASDAQ:LPRO,6.88,7.085,6.76,6.91,659920.0
2022-12-09 05:30:00,NASDAQ:LPRO,6.83,6.99,6.77,6.88,415018.0
2022-12-12 05:30:00,NASDAQ:LPRO,6.87,6.96,6.78,6.95,585750.0
2022-12-13 05:30:00,NASDAQ:LPRO,7.35,7.52,6.875,7.02,1160671.0
2022-12-14 05:30:00,NASDAQ:LPRO,6.99,7.26,6.93,7.08,825298.0
2022-12-15 05:30:00,NASDAQ:LPRO,6.9,7.05,6.785,6.94,1015511.0
2022-12-16 05:30:00,NASDAQ:LPRO,6.84,7.04,6.835,7.0,1106570.0
2022-12-19 05:30:00,NASDAQ:LPRO,6.98,7.11,6.63,6.64,939967.0
2022-12-20 05:30:00,NASDAQ:LPRO,6.6,6.76,6.53,6.55,908971.0
2022-12-21 05:30:00,NASDAQ:LPRO,6.64,6.805,6.58,6.69,1009011.0
2022-12-22 05:30:00,NASDAQ:LPRO,6.62,6.62,6.26,6.46,1546913.0
2022-12-23 05:30:00,NASDAQ:LPRO,6.45,6.505,6.22,6.45,659430.0
2022-12-27 05:30:00,NASDAQ:LPRO,6.45,6.52,6.2,6.46,868841.0
2022-12-28 05:30:00,NASDAQ:LPRO,6.45,6.55,6.44,6.46,569734.0
2022-12-29 05:30:00,NASDAQ:LPRO,6.56,6.84,6.5,6.75,759597.0
2022-12-30 05:30:00,NASDAQ:LPRO,6.57,6.79,6.5593,6.75,537965.0
2023-01-03 05:30:00,NASDAQ:LPRO,6.8,6.99,6.64,6.78,1181831.0
2023-01-04 05:30:00,NASDAQ:LPRO,6.92,7.11,6.86,7.08,1097635.0
2023-01-05 05:30:00,NASDAQ:LPRO,6.98,7.02,6.82,6.95,1117615.0
2023-01-06 05:30:00,NASDAQ:LPRO,7.03,7.17,6.87,7.15,533624.0
2023-01-09 05:30:00,NASDAQ:LPRO,7.33,7.4812,7.28,7.29,504988.0
2023-01-10 05:30:00,NASDAQ:LPRO,7.27,7.715,7.27,7.71,554011.0
2023-01-11 05:30:00,NASDAQ:LPRO,7.77,8.0,7.69,7.89,645388.0
2023-01-12 05:30:00,NASDAQ:LPRO,7.96,7.97,7.74,7.97,346789.0
2023-01-13 05:30:00,NASDAQ:LPRO,7.89,8.12,7.7932,8.07,480611.0
2023-01-17 05:30:00,NASDAQ:LPRO,8.06,8.14,7.94,8.11,381446.0
2023-01-18 05:30:00,NASDAQ:LPRO,8.18,8.4,7.96,7.99,506615.0
2023-01-19 05:30:00,NASDAQ:LPRO,7.78,8.255,7.76,8.24,401191.0
2023-01-20 05:30:00,NASDAQ:LPRO,8.38,8.635,8.165,8.59,880599.0
2023-01-23 05:30:00,NASDAQ:LPRO,8.6,8.7,8.24,8.39,840483.0
2023-01-24 05:30:00,NASDAQ:LPRO,8.25,8.75,8.25,8.64,966288.0
2023-01-25 05:30:00,NASDAQ:LPRO,8.51,8.53,8.185,8.5,555118.0
2023-01-26 05:30:00,NASDAQ:LPRO,8.66,8.69,8.365,8.55,470242.0
2023-01-27 05:30:00,NASDAQ:LPRO,8.52,8.8,8.52,8.68,637235.0
2023-01-30 05:30:00,NASDAQ:LPRO,8.6,8.66,8.345,8.4,481207.0
2023-01-31 05:30:00,NASDAQ:LPRO,8.43,8.81,8.411,8.77,649372.0
2023-02-01 05:30:00,NASDAQ:LPRO,8.74,8.855,8.59,8.77,836875.0
2023-02-02 05:30:00,NASDAQ:LPRO,8.85,10.32,8.85,9.89,1494670.0
2023-02-03 05:30:00,NASDAQ:LPRO,9.65,10.05,9.51,9.87,1173218.0
